environmentId,processId,processName,packageId,componentType
497b3021-ef13-4e59-93b8-f30e245a317a,ae06f696-5210-40c9-8162-7e804e8c992b,HNK_GLO_PR_05050_Main_ProcessJDESalesOrder,736c786f-e5e9-4021-8b26-511ba06b5e7f,process
497b3021-ef13-4e59-93b8-f30e245a317a,ae06f696-5210-40c9-8162-7e804e8c992b,HNK_GLO_PR_05050_Main_ProcessJDESalesOrder,77078a9f-e7c4-42c8-8160-474ef3e52853,process
497b3021-ef13-4e59-93b8-f30e245a317a,7f28a097-daa9-492c-8a3c-9551408d43e0,HNK_GLO_PR_05051_Sub_ProcessEPOS_SalesOrder,01cc8b45-641d-4d98-8c6c-27a92117c733,process
497b3021-ef13-4e59-93b8-f30e245a317a,9f8add49-80f5-4931-b4e4-5abf080a5b59,HNK_GLO_PR_05052_Sub_ProcessDFI_SalesOrder,acb3df2e-74ae-45b6-8d6f-a0e0cf763ced,process
497b3021-ef13-4e59-93b8-f30e245a317a,e68423bf-8423-4a99-96d1-64c1ef533735,HNK_GLO_PR_05053_Sub_ProcessValidate_SOdata,d92f2d03-ced1-45ed-9ab2-7753e15525f1,process
497b3021-ef13-4e59-93b8-f30e245a317a,61ef63b4-5607-48ab-a6d8-a325500d1f74,HNK_GLO_PR_05054_Sub_ProcessDFI_SOProcesser,1378fe32-8dbe-4097-9c45-81253f9c89f7,process
497b3021-ef13-4e59-93b8-f30e245a317a,dd0038d0-81d1-4b15-bdda-21ee2f2365e6,HNK_Test_Webservice,f68cc9c2-abbe-419e-9af2-785a5a347d66,process
497b3021-ef13-4e59-93b8-f30e245a317a,dd0038d0-81d1-4b15-bdda-21ee2f2365e6,HNK_Test_Webservice,55e1993d-1475-4844-ba2c-e6da156548da,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,92bf897c-3e03-4b45-ab64-c892b0ac98c7,process
497b3021-ef13-4e59-93b8-f30e245a317a,7fc0f50e-43a1-44ac-94f4-11f352921031,HNK_GLO_PRC_05400_HanseOrga_MultiSAP_RemittanceAdvice_AB_KA_RFC_IMP_WS,6f7aabc8-c2f4-403b-8e8c-38e1781742dc,process
