originalExecutionId,account,executionTime,status,executionType,processName,processId,atomName,atomId,inboundDocumentCount,inboundErrorDocumentCount,outboundDocumentCount,executionDuration,message,parentExecutionId,topLevelExecutionId,inboundDocumentSize,outboundDocumentSize,launcherID,reportKey,nodeId,is_outlier,is_outliertxt,nodeIdtxt,executionId
0.0,eonitalyspa-AEYI78,2023-08-17 07:23:29,COMPLETE,exec_listener,Queue_Check_IBAN,f5b9394b-56b3-456d-b524-3cfde617a98b,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,4865.0,0,0,0,80.0,179.0,0,0,atom05[execution-45e0d555-d17a-449f-870a-73a57323c46a-2023.08.17],red,red,atom05,2023-08-17 07:23:29
0.0,eonitalyspa-AEYI78,2023-08-17 07:27:10,COMPLETE,exec_listener,DSDS_2_QUEUE_LISTNER,57738ab0-7358-4b52-a372-0a27fc9cd48e,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,4.0,8659.0,0,0,0,262.0,410250.0,0,0,atom06[execution-81e4a6d7-5d4d-4f60-bfe1-5f3d3463b549-2023.08.17],red,red,atom06,2023-08-17 07:27:10
0.0,eonitalyspa-AEYI78,2023-08-17 07:27:26,COMPLETE,exec_listener,SendKit_2_QueueListener,481a5ead-8762-4511-9d4e-88e1cc40fdcf,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,6716.0,0,0,0,173.0,672.0,0,0,atom05[execution-29bdbb96-66c4-451f-8f27-bf5bab8a894e-2023.08.17],red,red,atom05,2023-08-17 07:27:26
0.0,eonitalyspa-AEYI78,2023-08-17 07:28:08,COMPLETE,exec_listener,Queue_Check_IBAN,f5b9394b-56b3-456d-b524-3cfde617a98b,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,5004.0,0,0,0,80.0,179.0,0,0,atom05[execution-84503f67-a246-40a1-838a-6f9d2a765daf-2023.08.17],red,red,atom05,2023-08-17 07:28:08
0.0,eonitalyspa-AEYI78,2023-08-17 07:28:25,COMPLETE,exec_listener,DSDS_2_QUEUE_LISTNER,57738ab0-7358-4b52-a372-0a27fc9cd48e,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,4.0,7564.0,0,0,0,262.0,408358.0,0,0,atom04[execution-9f3c876d-9361-4f08-ae86-981e68192e65-2023.08.17],red,red,atom04,2023-08-17 07:28:25
0.0,eonitalyspa-AEYI78,2023-08-17 07:28:34,COMPLETE,exec_listener,SendKit_2_QueueListener,481a5ead-8762-4511-9d4e-88e1cc40fdcf,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,2.0,5616.0,0,0,0,173.0,672.0,0,0,atom05[execution-229f4027-4169-4905-855e-fe70284e6b92-2023.08.17],red,red,atom05,2023-08-17 07:28:34
0.0,eonitalyspa-AEYI78,2023-08-17 07:29:09,COMPLETE,exec_listener,Queue_Check_IBAN,f5b9394b-56b3-456d-b524-3cfde617a98b,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,4827.0,0,0,0,145.0,221.0,0,0,atom05[execution-94334a23-e663-49ad-bcfd-7ff64ffc9f97-2023.08.17],red,red,atom05,2023-08-17 07:29:09
0.0,eonitalyspa-AEYI78,2023-08-17 07:29:24,COMPLETE,exec_listener_bridge,MMI_DVC_RLT_SMR_MyEON,42a1ba31-ddeb-4b13-89d2-2daace77ab58,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,3.0,6500.0,0,0,0,124.0,1152.0,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom02[worker-1b77a1c6-6f7b-4900-b5df-04e05fb6eb27-2023.08.17],red,red,atom02,2023-08-17 07:29:24
0.0,eonitalyspa-AEYI78,2023-08-17 07:30:14,COMPLETE,exec_listener_bridge,MMI_DVC_RLT_SMR,d9440076-4f75-4230-8f12-77337487a437,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,1.0,7815.0,0,0,0,306.0,969.0,a04d7436-4a3b-4e0d-b78c-0592f7eff6d0,apim-azure,atom05[worker-59786727-0ff5-4223-9c53-12654490d0ac-2023.08.17],red,red,atom05,2023-08-17 07:30:14
0.0,eonitalyspa-AEYI78,2023-08-17 07:30:29,COMPLETE,exec_listener_bridge,MMI_DVC_RLT_SMR_MyEON,42a1ba31-ddeb-4b13-89d2-2daace77ab58,MMI_PROD_BOOMI_MCS_001,664ef343-f415-42a9-83f8-1a9a402835a3,1.0,0.0,3.0,9342.0,0,0,0,123.0,1145.0,688e4cf4-efc0-4943-9566-7f79b55515ab,apim-azure,atom05[worker-59786727-0ff5-4223-9c53-12654490d0ac-2023.08.17],red,red,atom05,2023-08-17 07:30:29
